Tempo,Pot. Ativa,FP,FR,FNL
431.738,1.85,0.25,0.91,-0.03
431.742,1.85,0.25,0.91,-0.03
431.746,1.85,0.25,0.91,-0.03
431.749,1.85,0.25,0.91,-0.03
431.753,1.85,0.25,0.91,-0.03
431.757,1.85,0.25,0.91,-0.03
431.76,1.85,0.25,0.91,-0.03
431.764,1.85,0.25,0.91,-0.03
431.768,1.85,0.25,0.91,-0.03
431.771,1.85,0.25,0.91,-0.03
431.775,1.85,0.25,0.91,-0.03
431.779,1.85,0.25,0.91,-0.03
431.782,1.86,0.25,0.91,-0.03
431.786,1.86,0.25,0.91,-0.03
431.79,1.86,0.25,0.91,-0.03
431.794,1.86,0.25,0.91,-0.03
431.797,1.86,0.25,0.91,-0.03
431.801,1.86,0.25,0.91,-0.03
431.805,1.86,0.25,0.91,-0.03
431.808,1.86,0.25,0.91,-0.03
431.812,1.86,0.25,0.91,-0.03
431.816,1.86,0.25,0.91,-0.03
431.819,1.86,0.25,0.91,-0.03
431.823,1.86,0.25,0.91,-0.03
431.827,1.86,0.25,0.91,-0.03
431.83,1.86,0.25,0.91,-0.03
431.834,1.86,0.25,0.91,-0.03
431.838,1.86,0.25,0.91,-0.03
431.842,1.86,0.25,0.91,-0.03
431.845,1.86,0.25,0.91,-0.03
431.849,1.86,0.25,0.91,-0.03
431.853,1.86,0.25,0.91,-0.03
431.856,1.86,0.25,0.91,-0.03
431.86,1.86,0.25,0.91,-0.03
431.864,1.86,0.25,0.91,-0.03
431.867,1.86,0.25,0.91,-0.03
431.871,1.86,0.25,0.91,-0.03
431.875,1.86,0.25,0.91,-0.03
431.879,1.86,0.25,0.91,-0.03
431.882,1.86,0.25,0.91,-0.03
431.886,1.86,0.25,0.91,-0.03
431.89,1.86,0.25,0.91,-0.03
431.893,1.86,0.25,0.91,-0.03
431.897,1.86,0.25,0.91,-0.03
431.901,1.86,0.25,0.91,-0.03
431.904,1.86,0.25,0.91,-0.03
431.908,1.86,0.25,0.91,-0.03
431.912,1.86,0.25,0.91,-0.03
431.916,1.86,0.25,0.91,-0.03
431.919,1.86,0.25,0.91,-0.03
431.923,1.86,0.25,0.91,-0.03
431.927,1.86,0.25,0.91,-0.03
431.93,1.86,0.25,0.91,-0.03
431.934,1.86,0.25,0.91,-0.03
431.938,1.86,0.25,0.91,-0.03
431.941,1.86,0.25,0.91,-0.03
431.945,1.86,0.25,0.91,-0.03
431.949,1.86,0.25,0.91,-0.03
431.952,1.86,0.25,0.91,-0.03
