Timestamp,Dado
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298687"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298690"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298694"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298698"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298702"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298705"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298709"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298713"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298716"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298720"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298724"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298727"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298731"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298735"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298738"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298742"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298746"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298750"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298753"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298757"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298761"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298764"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298768"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298772"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298775"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298779"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298783"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298787"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298790"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298794"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298798"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298801"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298805"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298809"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298812"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298816"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298820"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298823"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298827"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298831"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298835"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298838"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298842"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298846"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298849"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298853"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298857"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298860"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298864"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298868"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298872"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298875"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298879"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298883"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298886"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298890"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298894"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298897"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298901"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298905"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298909"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298912"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298916"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298920"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298923"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298927"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298931"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298934"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298938"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298942"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298945"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298949"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298953"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298957"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298960"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298964"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298968"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298971"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298975"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298979"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298982"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298986"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298990"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298994"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 298997"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 299001"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 299005"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 299008"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 299012"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 299016"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 299019"
2025-04-09 15:25:24,"1.81,0.26,0.90,-0.02 - 299023"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299027"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299030"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299034"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299038"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299042"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299045"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299049"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299053"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299056"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299060"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299064"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299067"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299071"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299075"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299078"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299082"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299086"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299090"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299093"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299097"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299101"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299104"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299108"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299112"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299115"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299119"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299123"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299127"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299130"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299134"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299138"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299141"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299145"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299149"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299152"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299156"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299160"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299163"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299167"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299171"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299175"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299178"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299182"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299186"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299189"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299193"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299197"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299200"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299204"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299208"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299212"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299215"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299219"
2025-04-09 15:25:24,"1.80,0.26,0.90,-0.02 - 299223"
2025-04-09 15:25:25,"1.80,0.26,0.90,-0.02 - 299226"
2025-04-09 15:25:25,"1.80,0.26,0.90,-0.02 - 299230"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299234"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299237"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299241"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299245"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299248"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299252"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299256"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299260"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299263"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299267"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299271"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299274"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299278"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299282"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299285"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299289"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299293"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299297"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299300"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299304"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299308"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299311"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299315"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299319"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299322"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299326"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299330"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299333"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299337"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299341"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299345"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299348"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299352"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299356"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299359"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299363"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299367"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299370"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299374"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299378"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299382"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299385"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299389"
2025-04-09 15:25:25,"1.81,0.26,0.90,-0.02 - 299393"
